COA_SC_LN,2010,2015,2020
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,227.71,126.35
153,0.0,176.3,454.3
154,0.0,126.35,388.29
155,0.0,0.0,126.35
156,0.0,0.0,126.35
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,124.0
160,0.0,0.0,126.35
161,0.0,0.0,202.02
162,0.0,126.35,192.71
163,0.0,249.96,126.35
164,0.0,396.19,164.77
165,0.0,0.0,202.02
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
GAS_CC,2010,2015,2020
1,0.0,380.48,371.07
2,0.0,176.7,396.67
3,0.0,176.7,393.36
4,0.0,176.7,176.7
5,0.0,176.7,305.8
6,0.0,486.03,371.07
7,477.66,476.13,522.36
8,701.28,503.59,636.11
9,701.36,636.11,636.11
10,701.5,636.11,636.11
11,701.5,636.11,636.11
12,701.5,636.11,636.11
13,701.5,636.11,636.11
14,701.5,636.11,636.11
15,701.5,506.3,636.11
16,701.5,503.59,636.11
17,701.5,636.11,636.11
18,701.5,636.11,636.11
19,701.5,503.59,636.11
20,701.5,636.11,636.11
21,541.83,415.24,636.11
22,484.51,636.11,636.11
23,474.84,636.11,636.11
24,390.74,621.16,415.24
25,0.0,176.7,418.85
