encrops,2010,2015,2020
188,34492.574,38769.62,44585.063
189,31737.806,38769.62,44585.063
190,28042.7,36718.861,44585.063
191,28547.426,37104.557,44585.063
192,23878.523,33165.865,44585.063
hardcoal,2010,2015,2020
1,299055.615,245006.203,129050.506
2,294320.232,177444.438,129050.506
3,283464.291,177444.438,129050.506
4,299055.615,177444.438,129050.506
5,299055.615,177444.438,129050.506
6,299055.615,245006.203,129050.506
7,299055.615,245006.203,129050.506
8,299055.615,268867.703,129050.506
9,299055.615,262449.027,129050.506
10,299055.615,259995.085,129050.506
11,299055.615,255497.968,129050.506
12,299055.615,270294.409,129050.506
13,299055.615,250069.056,129050.506
14,299055.615,250543.732,129050.506
15,299055.615,257679.821,129050.506
16,299055.615,254395.174,129050.506
17,299055.615,262613.497,129050.506
18,299055.615,296356.703,129050.506
19,299055.615,290650.821,129050.506
20,299055.615,262395.821,129050.506
21,299055.615,255299.821,129050.506
22,299055.615,245006.203,129050.506
23,299055.615,245006.203,129050.506
24,299055.615,245006.203,129050.506
25,113063.603,70977.809,51620.225
26,119622.28,70977.809,51620.225
27,119622.28,70977.809,51620.225
28,119622.28,70977.809,51620.225
29,119406.409,70977.809,51620.225
30,119622.28,70977.809,51620.225
31,119622.28,70977.809,51620.225
32,114530.75,70977.809,51620.225
33,112295.25,70977.809,51620.225
34,116473.632,70977.809,51620.225
35,117946.809,70977.809,51620.225
36,118588.662,70977.809,51620.225
37,112032.162,70977.809,51620.225
38,110485.309,70977.809,51620.225
39,112417.544,70977.809,51620.225
40,118763.309,70977.809,51620.225
41,119622.28,70977.809,51620.225
42,119622.28,70977.809,51620.225
43,119622.28,70977.809,51620.225
44,119622.28,70977.809,51620.225
45,119622.28,70977.809,51620.225
46,119200.868,70977.809,51620.225
47,117775.632,70977.809,51620.225
48,115348.515,70977.809,51620.225
49,299055.615,177444.438,129050.506
50,295035.137,177444.438,129050.506
51,288683.211,177444.438,129050.506
52,278697.786,177444.438,129050.506
53,288376.618,177444.438,129050.506
54,299055.615,177444.438,129050.506
55,280172.527,177444.438,129050.506
56,292535.497,177444.438,129050.506
57,294633.938,177444.438,129050.506
58,299055.615,177444.438,129050.506
59,297292.879,177444.438,129050.506
60,297765.232,177444.438,129050.506
61,281822.968,177444.438,129050.506
62,281442.085,177444.438,129050.506
63,284734.409,177444.438,129050.506
64,292270.644,177444.438,129050.506
65,299055.615,177444.438,129050.506
66,294695.703,177444.438,129050.506
67,299055.615,177444.438,129050.506
68,299055.615,177444.438,129050.506
69,299055.615,177444.438,129050.506
70,292336.085,177444.438,129050.506
71,283606.732,177444.438,129050.506
72,299055.615,177444.438,129050.506
73,113967.865,70977.809,51620.225
74,103174.989,70977.809,51620.225
75,106345.915,70977.809,51620.225
76,101049.677,70378.034,51620.225
77,100663.635,70275.056,51620.225
78,104703.37,70977.809,51620.225
79,106073.7,70977.809,51620.225
80,105298.741,70977.809,51620.225
81,108583.956,70977.809,51620.225
82,109522.338,70977.809,51620.225
83,109609.221,70977.809,51620.225
84,111050.632,70977.809,51620.225
85,103729.338,70977.809,51620.225
86,107291.427,70977.809,51620.225
87,107108.397,70977.809,51620.225
88,106745.721,70977.809,51620.225
89,109094.941,70977.809,51620.225
90,110463.132,70977.809,51620.225
91,115629.044,70977.809,51620.225
92,119622.28,70977.809,51620.225
93,119622.28,70977.809,51620.225
94,117055.603,70977.809,51620.225
95,118910.927,70977.809,51620.225
96,114400.11,70977.809,51620.225
97,298877.021,177444.438,129050.506
98,273845.161,177444.438,129050.506
99,264574.327,177444.438,129050.506
100,295191.011,176410.337,129050.506
101,301030.02,177444.438,129050.506
102,288185.991,177444.438,129050.506
103,311892.35,177444.438,129050.506
104,311892.35,177444.438,129050.506
105,311892.35,177444.438,129050.506
106,311892.35,177444.438,129050.506
107,311892.35,177444.438,129050.506
108,311892.35,177444.438,129050.506
109,311892.35,177444.438,129050.506
110,311892.35,177444.438,129050.506
111,311892.35,177444.438,129050.506
112,311892.35,177444.438,129050.506
113,311892.35,177444.438,129050.506
114,311892.35,177444.438,129050.506
115,311892.35,177444.438,129050.506
116,311892.35,177444.438,129050.506
117,311892.35,177444.438,129050.506
