A1_A2,2010,2015,2020
35,500.0,500.0,0.0
36,500.0,462.572,0.0
37,500.0,500.0,0.0
38,500.0,500.0,0.0
39,500.0,499.999,0.0
40,500.0,500.0,0.0
41,500.0,483.107,0.0
42,500.0,500.0,0.0
43,500.0,500.0,0.0
44,500.0,500.0,0.0
45,500.0,499.999,0.0
46,500.0,500.0,0.0
47,500.0,499.999,70.385
48,500.0,500.0,0.0
49,500.0,500.0,109.51
50,500.0,500.0,550.327
51,500.0,500.0,500.463
52,500.0,500.0,450.366
53,500.0,500.0,511.443
54,500.0,500.0,0.0
55,500.0,500.0,0.0
56,500.0,369.944,0.0
57,500.0,382.475,0.0
58,500.0,436.25,0.0
59,500.0,387.807,0.0
60,500.0,368.659,0.0
61,500.0,500.0,0.0
62,500.0,500.0,0.0
63,500.0,500.0,0.0
64,500.0,500.0,0.0
65,500.0,500.0,0.0
66,500.0,500.0,0.0
67,500.0,500.0,0.0
68,500.0,500.0,0.0
69,500.0,500.0,0.0
70,500.0,500.0,0.0
71,500.0,500.0,0.0
72,500.0,500.0,0.0
73,500.0,500.0,292.242
74,500.0,500.0,292.046
75,500.0,500.0,292.249
76,500.0,500.0,258.892
77,500.0,500.0,261.089
78,500.0,500.0,281.751
79,500.0,500.0,289.658
80,500.0,500.0,282.902
81,500.0,500.0,300.274
82,500.0,500.0,297.289
83,500.0,500.0,294.657
84,500.0,500.0,316.273
85,500.0,500.0,292.251
86,500.0,500.0,292.251
87,500.0,500.0,290.654
88,500.0,500.0,253.068
89,500.0,500.0,273.425
90,500.0,500.0,313.686
91,500.0,500.0,298.368
92,500.0,500.0,357.907
93,500.0,500.0,237.625
94,500.0,500.0,292.25
95,500.0,500.0,322.31
96,500.0,500.0,292.251
97,500.0,500.0,104.771
98,500.0,500.0,443.716
99,500.0,500.0,393.28
100,500.0,500.0,335.387
101,500.0,500.0,382.053
102,500.0,500.0,124.53
103,500.0,500.0,0.0
104,399.696,500.0,0.0
105,447.391,500.0,0.0
106,436.466,500.0,0.0
107,449.531,500.0,0.0
108,385.98,456.367,0.0
109,409.828,500.0,0.0
110,413.875,500.0,0.0
111,420.628,500.0,0.0
112,358.015,500.0,0.0
113,394.372,500.0,0.0
114,469.479,278.202,0.0
115,458.541,262.564,0.0
