encrops,2010,2015,2020
hardcoal,2010,2015,2020
1,72590.899,72590.899,48393.933
2,72590.899,72590.899,48393.933
3,72590.899,72590.899,48393.933
4,72590.899,72590.899,48393.933
5,72590.899,72590.899,48393.933
6,72590.899,72590.899,48393.933
7,72590.899,72590.899,48393.933
8,72590.899,72590.899,48393.933
9,72590.899,72590.899,48393.933
10,72590.899,72590.899,48393.933
11,72590.899,72590.899,48393.933
12,72590.899,72590.899,48393.933
13,72590.899,72590.899,48393.933
14,72590.899,72590.899,48393.933
15,72590.899,72590.899,48393.933
16,72590.899,72590.899,48393.933
17,72590.899,72590.899,48393.933
18,72590.899,72590.899,48393.933
19,72590.899,72590.899,48393.933
20,72590.899,72590.899,48393.933
21,72590.899,72590.899,48393.933
22,72590.899,72590.899,48393.933
23,72590.899,72590.899,48393.933
24,72590.899,72590.899,48393.933
25,29036.376,29036.376,19357.584
26,29036.376,29036.376,19357.584
27,29036.376,29036.376,19357.584
28,29036.376,29036.376,19357.584
29,28820.506,29036.376,19357.584
30,29036.376,29036.376,19357.584
31,29036.376,29036.376,19357.584
32,29036.376,29036.376,19357.584
33,29036.376,29036.376,19357.584
34,29036.376,29036.376,19357.584
35,29036.376,29036.376,19357.584
36,29036.376,29036.376,19357.584
37,29036.376,29036.376,19357.584
38,29036.376,29036.376,19357.584
39,29036.376,29036.376,19357.584
40,29036.376,29036.376,19357.584
41,29036.376,29036.376,19357.584
42,29036.376,29036.376,19357.584
43,29036.376,29036.376,19357.584
44,29036.376,29036.376,19357.584
45,29036.376,29036.376,19357.584
46,29036.376,29036.376,19357.584
47,29036.376,29036.376,19357.584
48,29036.376,29036.376,19357.584
49,72590.899,72590.899,48393.933
50,68570.421,72590.899,48393.933
51,66774.466,72590.899,48393.933
52,64994.747,72590.899,48393.933
53,66679.579,72590.899,48393.933
54,72590.899,72590.899,48393.933
55,72590.899,72590.899,48393.933
56,72590.899,72590.899,48393.933
57,72590.899,72590.899,48393.933
58,72590.899,72590.899,48393.933
59,72590.899,72590.899,48393.933
60,72590.899,72590.899,48393.933
61,72590.899,72590.899,48393.933
