encrops,2010,2015,2020
189,10414.515,17446.329,23261.772
190,6719.409,15395.57,23261.772
191,7224.135,15781.266,23261.772
192,3687.722,11842.574,23261.772
hardcoal,2010,2015,2020
1,120984.832,120984.832,72590.899
2,120984.832,120984.832,72590.899
3,120984.832,120984.832,72590.899
4,120984.832,120984.832,72590.899
5,120984.832,120984.832,72590.899
6,120984.832,120984.832,72590.899
7,120984.832,120984.832,72590.899
8,120984.832,120984.832,72590.899
9,120984.832,120984.832,72590.899
10,120984.832,120984.832,72590.899
11,120984.832,120984.832,72590.899
12,120984.832,120984.832,72590.899
13,120984.832,120984.832,72590.899
14,120984.832,120984.832,72590.899
15,120984.832,120984.832,72590.899
16,120984.832,120984.832,72590.899
17,120984.832,120984.832,72590.899
18,120984.832,120984.832,72590.899
19,120984.832,120984.832,72590.899
20,120984.832,120984.832,72590.899
21,120984.832,120984.832,72590.899
22,120984.832,120984.832,72590.899
23,120984.832,120984.832,72590.899
24,120984.832,120984.832,72590.899
25,48393.961,48393.961,29036.376
26,48393.961,48393.961,29036.376
27,48393.961,48393.961,29036.376
28,48393.961,48393.961,29036.376
29,48178.09,48393.961,29036.376
30,48393.961,48393.961,29036.376
31,48393.961,48393.961,29036.376
32,48393.961,48393.961,29036.376
33,48393.961,48393.961,29036.376
34,48393.961,48393.961,29036.376
35,48393.961,48393.961,29036.376
36,48393.961,48393.961,29036.376
37,48393.961,48393.961,29036.376
38,48393.961,48393.961,29036.376
39,48393.961,48393.961,29036.376
40,48393.961,48393.961,29036.376
41,48393.961,48393.961,29036.376
42,48393.961,48393.961,29036.376
43,48393.961,48393.961,29036.376
44,48393.961,48393.961,29036.376
45,48393.961,48393.961,29036.376
46,48393.961,48393.961,29036.376
47,48393.961,48393.961,29036.376
48,48393.961,48393.961,29036.376
49,120984.832,120984.832,72590.899
50,116964.354,120984.832,72590.899
51,115168.399,120984.832,72590.899
52,113388.68,120984.832,72590.899
53,115073.511,120984.832,72590.899
54,120984.832,120984.832,72590.899
55,120984.832,120984.832,72590.899
56,120984.832,120984.832,72590.899
57,120984.832,120984.832,72590.899
58,120984.832,120984.832,72590.899
59,120984.832,120984.832,72590.899
60,120984.832,120984.832,72590.899
61,120984.832,120984.832,72590.899
62,120984.832,120984.832,72590.899
63,120984.832,120984.832,72590.899
64,120984.832,120984.832,72590.899
65,120984.832,120984.832,72590.899
66,120984.832,120984.832,72590.899
67,120984.832,120984.832,72590.899
68,120984.832,120984.832,72590.899
69,120984.832,120984.832,72590.899
70,120984.832,120984.832,72590.899
71,120984.832,120984.832,72590.899
72,120984.832,120984.832,72590.899
73,47409.017,48393.961,29036.376
74,45475.758,48393.961,29036.376
75,44695.45,48393.961,29036.376
76,43621.77,47794.185,29036.376
77,43533.904,47691.208,29036.376
78,44435.787,48393.961,29036.376
79,45208.146,48393.961,29036.376
80,47423.539,48393.961,29036.376
81,48393.961,48393.961,29036.376
82,48393.961,48393.961,29036.376
83,48393.961,48393.961,29036.376
84,48393.961,48393.961,29036.376
85,48393.961,48393.961,29036.376
86,48393.961,48393.961,29036.376
87,48393.961,48393.961,29036.376
88,48393.961,48393.961,29036.376
89,48350.534,48393.961,29036.376
90,48393.961,48393.961,29036.376
91,48393.961,48393.961,29036.376
92,48393.961,48393.961,29036.376
93,48393.961,48393.961,29036.376
94,48393.961,48393.961,29036.376
95,48393.961,48393.961,29036.376
96,47601.938,48393.961,29036.376
97,117766.826,120984.832,72590.899
98,113276.966,120984.832,72590.899
99,111467.191,120984.832,72590.899
100,109451.405,119950.73,72590.899
101,110628.09,120984.832,72590.899
102,116440.59,120984.832,72590.899
103,120984.832,120984.832,72590.899
104,120984.832,120984.832,72590.899
105,120984.832,120984.832,72590.899
106,120984.832,120984.832,72590.899
107,120984.832,120984.832,72590.899
108,120984.832,120984.832,72590.899
109,120984.832,120984.832,72590.899
110,120984.832,120984.832,72590.899
111,120984.832,120984.832,72590.899
112,120984.832,120984.832,72590.899
113,120984.832,120984.832,72590.899
114,120984.832,120984.832,72590.899
115,120984.832,120984.832,72590.899
116,120984.832,120984.832,72590.899
117,120984.832,120984.832,72590.899
118,120984.832,120984.832,72590.899
119,120984.832,120984.832,72590.899
120,120984.832,120984.832,72590.899
121,46054.101,48393.961,29036.376
122,44168.848,48393.961,29036.376
123,43241.489,47348.539,29036.376
124,42222.528,46154.326,29036.376
125,41910.084,45788.146,29036.376
126,42205.478,46134.382,29036.376
127,43606.208,47775.955,29036.376
128,45832.669,48393.961,29036.376
129,48238.876,48393.961,29036.376
130,48393.961,48393.961,29036.376
131,48393.961,48393.961,29036.376
132,48393.961,48393.961,29036.376
133,48393.961,48393.961,29036.376
134,48393.961,48393.961,29036.376
135,48393.961,48393.961,29036.376
136,48393.961,48393.961,29036.376
137,48393.961,48393.961,29036.376
138,48393.961,48393.961,29036.376
139,48393.961,48393.961,29036.376
140,48309.354,48393.961,29036.376
141,48141.966,48393.961,29036.376
142,48195.983,48393.961,29036.376
143,48200.112,48393.961,29036.376
144,45937.219,48393.961,29036.376
145,120984.832,120984.832,72590.899
146,119340.477,120984.832,72590.899
147,117569.129,120984.832,72590.899
148,115564.326,120984.832,72590.899
