encrops,2010,2015,2020
188,9692.405,9692.405,9692.405
189,9692.405,9692.405,9692.405
190,9692.405,9692.405,9692.405
191,9692.405,9692.405,9692.405
192,9692.405,9692.405,9692.405
hardcoal,2010,2015,2020
1,153873.817,99824.405,32262.64
2,149138.435,32262.64,32262.64
3,138282.493,32262.64,32262.64
4,153873.817,32262.64,32262.64
5,153873.817,32262.64,32262.64
6,153873.817,99824.405,32262.64
7,153873.817,99824.405,32262.64
8,153873.817,123685.905,32262.64
9,153873.817,117267.229,32262.64
10,153873.817,114813.288,32262.64
11,153873.817,110316.17,32262.64
12,153873.817,125112.611,32262.64
13,153873.817,104887.258,32262.64
14,153873.817,105361.935,32262.64
15,153873.817,112498.023,32262.64
16,153873.817,109213.376,32262.64
17,153873.817,117431.699,32262.64
18,153873.817,151174.905,32262.64
19,153873.817,145469.023,32262.64
20,153873.817,117214.023,32262.64
21,153873.817,110118.023,32262.64
22,153873.817,99824.405,32262.64
23,153873.817,99824.405,32262.64
24,153873.817,99824.405,32262.64
25,54990.85,12905.056,12905.056
26,61549.527,12905.056,12905.056
27,61549.527,12905.056,12905.056
28,61549.527,12905.056,12905.056
29,61549.527,12905.056,12905.056
30,61549.527,12905.056,12905.056
31,61549.527,12905.056,12905.056
32,56457.997,12905.056,12905.056
33,54222.497,12905.056,12905.056
34,58400.88,12905.056,12905.056
35,59874.056,12905.056,12905.056
36,60515.909,12905.056,12905.056
37,53959.409,12905.056,12905.056
38,52412.556,12905.056,12905.056
39,54344.791,12905.056,12905.056
40,60690.556,12905.056,12905.056
41,61549.527,12905.056,12905.056
42,61549.527,12905.056,12905.056
43,61549.527,12905.056,12905.056
44,61549.527,12905.056,12905.056
45,61549.527,12905.056,12905.056
46,61128.115,12905.056,12905.056
47,59702.88,12905.056,12905.056
48,57275.762,12905.056,12905.056
49,153873.817,32262.64,32262.64
50,153873.817,32262.64,32262.64
51,149317.846,32262.64,32262.64
52,141112.14,32262.64,32262.64
53,149106.14,32262.64,32262.64
54,153873.817,32262.64,32262.64
55,134990.729,32262.64,32262.64
56,147353.699,32262.64,32262.64
57,149452.14,32262.64,32262.64
58,153873.817,32262.64,32262.64
59,152111.082,32262.64,32262.64
60,152583.435,32262.64,32262.64
61,136641.17,32262.64,32262.64
62,136260.288,32262.64,32262.64
63,139552.611,32262.64,32262.64
64,147088.846,32262.64,32262.64
65,153873.817,32262.64,32262.64
66,149513.905,32262.64,32262.64
67,153873.817,32262.64,32262.64
68,153873.817,32262.64,32262.64
69,153873.817,32262.64,32262.64
70,147154.288,32262.64,32262.64
71,138424.935,32262.64,32262.64
72,153873.817,32262.64,32262.64
73,56880.056,12905.056,12905.056
74,48020.438,12905.056,12905.056
75,51971.674,12905.056,12905.056
76,47749.115,12905.056,12905.056
77,47450.938,12905.056,12905.056
78,50588.791,12905.056,12905.056
79,51186.762,12905.056,12905.056
80,48196.409,12905.056,12905.056
81,50511.203,12905.056,12905.056
82,51449.586,12905.056,12905.056
83,51536.468,12905.056,12905.056
84,52977.88,12905.056,12905.056
85,45656.586,12905.056,12905.056
86,49218.674,12905.056,12905.056
87,49035.644,12905.056,12905.056
88,48672.968,12905.056,12905.056
89,51065.615,12905.056,12905.056
90,52390.38,12905.056,12905.056
91,57556.291,12905.056,12905.056
92,61549.527,12905.056,12905.056
93,61549.527,12905.056,12905.056
94,58982.85,12905.056,12905.056
95,60838.174,12905.056,12905.056
96,57119.38,12905.056,12905.056
97,156913.229,32262.64,32262.64
98,136371.229,32262.64,32262.64
99,128910.17,32262.64,32262.64
100,161542.64,32262.64,32262.64
101,166204.964,32262.64,32262.64
102,147548.435,32262.64,32262.64
103,166710.552,32262.64,32262.64
104,166710.552,32262.64,32262.64
105,166710.552,32262.64,32262.64
106,166710.552,32262.64,32262.64
107,166710.552,32262.64,32262.64
108,166710.552,32262.64,32262.64
109,166710.552,32262.64,32262.64
110,166710.552,32262.64,32262.64
111,166710.552,32262.64,32262.64
112,166710.552,32262.64,32262.64
113,166710.552,32262.64,32262.64
114,166710.552,32262.64,32262.64
115,166710.552,32262.64,32262.64
116,166710.552,32262.64,32262.64
117,166710.552,32262.64,32262.64
118,166710.552,32262.64,32262.64
119,166710.552,32262.64,32262.64
120,166710.552,32262.64,32262.64
121,48445.644,12905.056,12905.056
122,56760.086,12905.056,12905.056
123,60213.909,12905.056,12905.056
124,56553.056,12905.056,12905.056
125,55349.409,12905.056,12905.056
126,55096.703,12905.056,12905.056
127,56415.762,12905.056,12905.056
128,58789.321,12905.056,12905.056
129,55149.556,12905.056,12905.056
130,57280.938,12905.056,12905.056
131,58692.586,12905.056,12905.056
132,60969.821,12905.056,12905.056
133,56152.997,12905.056,12905.056
134,60213.909,12905.056,12905.056
135,59255.938,12905.056,12905.056
136,57990.291,12905.056,12905.056
137,46999.586,12905.056,12905.056
138,47042.674,12905.056,12905.056
139,51236.909,12905.056,12905.056
140,51313.644,12905.056,12905.056
141,50618.086,12905.056,12905.056
142,50815.144,12905.056,12905.056
143,50831.997,12905.056,12905.056
144,47909.674,12905.056,12905.056
145,153873.817,32262.64,32262.64
146,153873.817,32262.64,32262.64
147,153873.817,32262.64,32262.64
148,153135.493,32262.64,32262.64
149,153873.817,32262.64,32262.64
150,153873.817,32262.64,32262.64
151,153873.817,32262.64,32262.64
152,153873.817,99824.405,32262.64
153,153873.817,99824.405,32262.64
154,153873.817,99824.405,32262.64
155,153873.817,99824.405,32262.64
156,153873.817,99824.405,32262.64
157,153873.817,99824.405,32262.64
158,153873.817,99824.405,32262.64
159,153873.817,99824.405,32262.64
160,153873.817,99824.405,32262.64
161,153873.817,99824.405,32262.64
162,153873.817,99824.405,32262.64
163,153873.817,99824.405,32262.64
164,153873.817,99824.405,32262.64
165,153873.817,99824.405,32262.64
166,153873.817,32262.64,32262.64
167,153873.817,32262.64,32262.64
168,137098.288,32262.64,32262.64
169,61549.527,12905.056,12905.056
170,60793.909,12905.056,12905.056
171,56537.586,12905.056,12905.056
172,51549.144,12905.056,12905.056
173,51282.909,12905.056,12905.056
174,55429.38,12905.056,12905.056
175,58326.527,12905.056,12905.056
176,61549.527,12905.056,12905.056
177,61549.527,12905.056,12905.056
178,61549.527,12905.056,12905.056
179,61549.527,12905.056,12905.056
180,61549.527,12905.056,12905.056
181,57841.615,12905.056,12905.056
182,61197.262,12905.056,12905.056
183,61549.527,12905.056,12905.056
184,58831.203,12905.056,12905.056
185,61549.527,12905.056,12905.056
186,61549.527,12905.056,12905.056
187,61549.527,12905.056,12905.056
188,61549.527,12905.056,12905.056
189,61549.527,12905.056,12905.056
190,61549.527,12905.056,12905.056
191,61549.527,12905.056,12905.056
192,61549.527,12905.056,12905.056
lignite,2010,2015,2020
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
gas,2010,2015,2020
1,95772.816,160425.956,172623.378
2,87554.435,189540.847,146623.797
3,87554.435,181839.047,146623.797
4,70411.362,173248.156,146623.797
5,73021.616,176319.138,146623.797
6,92693.162,157385.719,175011.706
7,119752.562,178334.828,257208.053
8,198884.889,197185.847,291881.645
9,198894.58,197185.847,291049.36
10,198911.58,197185.847,292383.735
11,198911.58,197185.847,290593.067
12,198827.762,197185.847,299646.558
13,198534.671,197185.847,284449.102
14,198699.471,197185.847,285079.748
15,198881.944,197185.847,291401.386
16,198911.58,197185.847,289691.386
17,203381.765,197185.847,294754.274
18,245566.802,197185.847,319512.248
19,245423.386,197185.847,313408.153
20,214880.716,197185.847,289100.826
21,198835.38,197185.847,278934.985
22,118413.107,182488.119,242734.346
23,119687.526,178319.61,239666.652
24,111234.162,178075.701,213737.053
25,35021.774,70677.131,58649.516
26,28546.41,69435.077,44855.522
27,25581.501,66037.895,41062.285
28,21897.319,61822.459,36096.17
29,21204.265,61043.677,36091.613
30,23431.901,63646.64,36096.17
31,24605.338,65001.859,36871.402
32,35021.774,70677.131,58649.516
33,35021.774,70677.131,58649.516
34,35021.774,72870.859,58649.516
35,35021.774,74559.622,59446.825
36,35021.774,72493.586,63086.283
37,35021.774,70541.004,58649.516
38,35021.774,70046.822,62339.116
39,35021.774,70495.804,61966.483
40,35021.774,74505.004,61133.807
41,37015.465,73498.277,67827.552
42,45289.756,84291.713,81174.236
43,45746.574,84579.55,79901.566
44,42426.338,80578.259,73685.08
45,36773.283,71246.113,62586.198
46,35021.774,72603.768,58649.516
